time,open,high,low,close,成交量中心线,通道上轨,通道下轨,多头订单块反应信号,空头订单块反应信号,多头趋势线 Pin Bar,空头趋势线 Pin Bar,多头趋势转换,空头趋势转换,需求强度 %,供给强度 %,成交量压力 %,趋势 Delta %,趋势力度 %,趋势状态,通道位置,合并成交量,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭)
1785389760.002,36,36,35.95,35.95,36.13920204246231,,,0,0,0,0,0,1,46.421003044300456,53.578996955699544,-11.630072791292603,-100,76.97804367477556,-1,0,193043.75,66.99701976762432,66.19907019805594,66.99701976762432,66.19907019805594,48.183135904424546,51.74116777635819,48.183135904424546,51.74116777635819,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785389760.003,35.95,35.95,35.900000000000006,35.900000000000006,36.13140397208658,,,0,0,0,0,0,0,47.04407294128771,52.95592705871229,-20.18129230064782,-100,82.10877538038869,-1,0,193043.75,65.64647366990197,66.12012783689109,65.64647366990197,66.12012783689109,43.37040776835337,47.55578777235578,43.37040776835337,47.55578777235578,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785389880,35.9,35.9,35.85,35.85,36.12262604364336,,,0,0,0,0,0,0,45.56189983928417,54.43810016071583,-29.305611531392923,-100,87.58336691883575,-1,0,234075,64.02160496772768,65.82033885558204,64.02160496772768,65.82033885558204,37.809555864937685,42.68267181864673,37.809555864937685,42.68267181864673,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785389880.001,35.85,35.85,35.800000000000004,35.800000000000004,36.112912344304775,,,0,0,0,0,0,0,44.1702689606516,55.8297310393484,-37.2020932152747,-100,92.32125592916482,-1,0,234075,62.14200813284809,65.29486303804862,62.14200813284809,65.29486303804862,32.97961931280383,37.83114556572528,32.97961931280383,37.83114556572528,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390000,35.85,35.9,35.85,35.9,36.103982862315206,,,0,0,0,0,0,0,46.31947322884194,53.68052677115806,-25.38107490644933,-65.25366349083522,85.2286449438696,-1,0,179612.5,61.13824858046684,64.7010609726798,61.13824858046684,64.7010609726798,30.55395941097449,34.19255248834988,30.55395941097449,34.19255248834988,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390000.001,35.9,35.949999999999996,35.9,35.949999999999996,36.09616065226491,,,0,0,0,0,0,0,48.38178063232203,51.61821936767797,-14.526956438528691,-40.793390813477956,73.19220835120399,-1,0,179612.5,60.57697632183059,64.11190602255849,60.57697632183059,64.11190602255849,29.9033937808352,32.04797313459254,29.9033937808352,32.04797313459254,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390120,35.95,36,35.85558654,36,36.0894579177748,,,0,0,0,0,0,0,51.06140726632354,48.93859273367646,-0.3299188909053555,-15.40923253594981,35.17696980335049,-1,1,266900,60.426585121671884,63.585431608146116,60.426585121671884,63.585431608146116,30.234832040715787,31.141402587654163,30.234832040715787,31.141402587654163,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390240,36,36.05,36,36.05,36.08432128151002,,,0,0,0,0,0,0,52.376945480713445,47.623054519286555,4.863412740090106,-7.640135835837728,17.388877925963456,-1,2,106847.5,60.65772633295656,63.16718799740475,60.65772633295656,63.16718799740475,32.4869988920419,31.814200739848033,32.4869988920419,31.814200739848033,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390240.001,36.050000000000004,36.1,36.050000000000004,36.1,36.08162263417028,,,0,0,0,0,0,0,55.574218264872535,44.425781735127465,9.988555996543132,-0.851063201809856,5.902529469134948,-1,3,106847.5,61.24314764058157,62.892325089287155,61.24314764058157,62.892325089287155,35.84599905032178,33.830099895084906,35.84599905032178,33.830099895084906,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390360,36.1,36.15,36.1,36.15,36.079995181515606,,,0,0,0,0,0,0,56.545238663936715,43.454761336063285,17.408841077591237,7.951124214192275,17.71917142969062,-1,4,161994.5,61.910653901548415,62.752086348181614,61.910653901548415,62.752086348181614,40.153713471704265,36.99190668339459,40.153713471704265,36.99190668339459,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390360.001,36.15,36.199999999999996,36.15,36.199999999999996,36.079418372529204,,,0,0,0,0,0,0,57.474719546071405,42.525280453928595,24.27559401999885,15.340156928990487,29.325221263875285,-1,4,161994.5,62.84560719429492,62.76544646905494,62.84560719429492,62.76544646905494,45.274611547175105,41.133259115284844,45.274611547175105,41.133259115284844,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390480,36.15,36.15,36.1,36.1,36.07897833359597,,,0,0,0,0,0,0,56.45113789335292,43.54886210664708,17.95063152525266,10.155472643192683,11.46555926790925,-1,3,94983.33333333333,62.642349537559596,62.74786119312704,62.642349537559596,62.74786119312704,47.94966704043574,44.54146307786029,47.94966704043574,44.54146307786029,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390480.001,36.1,36.1,36.050000000000004,36.050000000000004,36.07869023617263,,,0,0,0,0,0,0,56.95252001434069,43.04747998565931,11.697354356076865,5.416853266047096,18.56089400470988,-1,2,94983.33333333333,61.73932457059108,62.60378453276475,61.73932457059108,62.60378453276475,48.814000320373694,46.67773169911699,48.814000320373694,46.67773169911699,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390480.002,36.050000000000004,36.050000000000004,36.00000000000001,36.00000000000001,36.078620855993755,,,0,0,0,0,0,0,57.462888198905546,42.537111801094454,5.542370239170273,1.0691071393291305,26.722320263306976,-1,1,94983.33333333333,60.07662556280169,62.24276182277003,60.07662556280169,62.24276182277003,48.126285988891794,47.40200884400439,48.126285988891794,47.40200884400439,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390600,36,36,35.95,35.95,36.07883946596115,,,0,0,0,0,0,0,58.011911829983646,41.988088170016354,-0.041626174239948174,-2.6319009409820273,38.94605985810528,-1,1,87538,57.57115230831585,61.575389034990856,57.57115230831585,61.575389034990856,46.10824513333594,46.75512698867017,46.10824513333594,46.75512698867017,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390600.001,35.95,35.95,35.900000000000006,35.900000000000006,36.07937839843562,,,0,0,0,0,0,0,58.54810815439141,41.45189184560859,-5.539098581630522,-6.071432534762401,46.96631866983576,-1,0,87538,54.64940333391237,60.58596250626535,54.64940333391237,60.58596250626535,42.94992440000221,44.852525694336194,42.94992440000221,44.852525694336194,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390720,35.95,36,35.87552847,36,36.08102386841487,,,0,0,0,0,0,0,55.73327950547387,44.26672049452613,3.503841538883634,-0.568338229062746,25.8646696100768,-1,1,135600,53.126826905299545,59.52037170612738,53.126826905299545,59.52037170612738,41.53152645714475,43.19202607574047,41.53152645714475,43.19202607574047,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390720.001,36,36.05,36,36.05,36.08226282268457,,,0,0,0,0,0,0,55.95453566195925,44.04546433804075,11.81538679750177,4.3919073136620685,19.063457942629967,-1,2,135600,52.30824403111142,58.49006775255367,52.30824403111142,58.49006775255367,42.169879820409584,42.68095294807503,42.169879820409584,42.68095294807503,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390840,36,36.09488968,35.95,35.95,36.08195809061135,,,0,0,0,0,0,0,52.9273800657898,47.0726199342102,-4.155051374190269,-3.9404099576687788,42.84664901609527,-1,1,238475,50.35765517174632,57.32829452672405,50.35765517174632,57.32829452672405,41.54498087463688,42.112966911355954,41.54498087463688,42.112966911355954,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785390960,36,36.05,36,36.05,36.08119939823895,,,0,0,0,0,0,0,53.83332672073855,46.16667327926145,9.207059379035744,3.290348006288743,16.46073681952191,-1,2,223387,49.73687027852629,56.243805348410085,49.73687027852629,56.243805348410085,42.18141217825998,42.14718954480797,42.18141217825998,42.14718954480797,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785391200,36,36.09488968,35.95,35.95,36.07691686390473,,,0,0,0,0,0,0,47.05603131725372,52.94396868274628,-20.660859927233492,-12.87773789421717,56.38510384661905,-1,1,595920,47.96995097291727,55.06182615191111,47.96995097291727,55.06182615191111,41.55486575279436,41.851027648801164,41.55486575279436,41.851027648801164,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785391440,36,36.05,36,36.05,36.071865276145736,,,0,0,0,0,0,0,47.34391790363502,52.65608209636498,-5.575765946964356,-5.066833053000559,12.619420152544699,-1,2,283025,47.5197163796136,53.98438189872576,47.5197163796136,53.98438189872576,42.1898849309664,42.02045628988378,42.1898849309664,42.02045628988378,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785391440.001,36.050000000000004,36.1,36.050000000000004,36.1,36.0653097978811,,,0,0,0,0,0,0,46.712419105757185,53.287580894242815,7.187989375032252,1.7330365647562276,7.6285645172797105,-1,3,283025,47.69687949535548,53.086167269672856,47.69687949535548,53.086167269672856,44.162758512257064,43.09160740107042,44.162758512257064,43.09160740107042,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
