time,open,high,low,close,,,,,,,,,,,,,,,,,,,,,Red %,Blue %,B,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭),rs,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,多头突破,空头突破,空头陷阱,中轴线,超买 1,超买 2（早期）,超卖 1,超卖 2,WT1 — 快线信号,WT2 — 慢线确认,WT 差值（动量）,交叉外圈,交叉内圈,Candle Color (开盘价),Candle Color (最高价,Candle Color (最低价),Candle Color (关闭),Oscillator,Signal Line,Reversal Down,Reversal Down,Reversal Up,Reversal Up
1784601000,33.95,34,33.95,34,0,0,0,0,0,0,34.45,34.2,,,,,33.975,,,,,,,,,,,63.505528511857584,59.20068334249638,63.505528511857584,59.20068334249638,58.06913832763037,53.03046589729774,58.06913832763037,53.03046589729774,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.03437148997582918,0.03437148997582918,,0.03437148997582918,,,,,,0,0,0,0,52,48,-52,-48,58.12856587660958,55.06553762913252,3.0630282474770567,,,33.95,34,33.95,34,0.00007773386789266329,0.00001841322803330843,,,,
1784601000.001,34,34.05,34,34.05,0,0,0,0,0,0,34.45,34.2,,,,,34.025,,,,,,,,,,,65.18059945666279,60.054957073091586,65.18059945666279,60.054957073091586,63.7418011062228,58.38613350176027,63.7418011062228,58.38613350176027,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.03879201520252705,,,,,,,,,0,0,0,0,52,48,-52,-48,59.57145549766667,57.06837525133649,2.5030802463301782,,,34,34.05,34,34.05,0.00010139497824734772,0.00004262041886253845,,,,
1784601000.002,34.050000000000004,34.1,34.050000000000004,34.1,0,0,0,0,0,0,34.45,34.2,,,,,34.075,,,,,,,,,,,67.01834884612198,61.049727326381635,67.01834884612198,61.049727326381635,68.62079192563463,63.50346271369745,68.62079192563463,63.50346271369745,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.050134753139455,,,,,,,,,0,0,0,0,52,48,-52,-48,60.75546723945152,58.70533542016686,2.0501318192846583,,,34.050000000000004,34.1,34.050000000000004,34.1,0.00012499031678316473,0.00006640484948980907,,,,
1784601000.003,34.1,34.15,34.1,34.15,0,0,0,0,0,0,34.45,34.2,,,,,34.125,,,,,,,,,,,69.03404501697723,62.19034413932387,69.03404501697723,62.19034413932387,72.81782165054392,68.16064218212068,72.81782165054392,68.16064218212068,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.06177245107755168,,,,,,,,,0,0,0,0,52,48,-52,-48,61.72961436200847,60.04627574393406,1.6833386180744085,,,34.1,34.15,34.1,34.15,0.00014825748740233784,0.0000897819545106728,,,,
1784601000.004,34.15,34.199999999999996,34.15,34.199999999999996,0,0,0,0,0,0,34.45,34.2,,,,,34.175,,,,,,,,,,,71.245898944336,63.483994825754166,71.245898944336,63.483994825754166,76.42888114264314,72.29476166238192,76.42888114264314,72.29476166238192,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.07339697862693076,,,,,0.07339697862693076,0.07339697862693076,0.07339697862693076,,0,0,0,0,52,48,-52,-48,62.53330039918595,61.147459374578155,1.3858410246077923,,,34.15,34.199999999999996,34.15,34.199999999999996,0.00017057697234380752,0.00011285261313327043,,,,
1784601240,34.2,34.25,34.2,34.25,0,0,0,0,0,0,34.45,34.2,,,,,34.225,,,,,,,,,,,73.29976330545485,64.8862474657114,73.29976330545485,64.8862474657114,79.53644357681095,75.91560261959643,79.53644357681095,75.91560261959643,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.06344320803044314,,,,,,,,,0,0,0,0,52,48,-52,-48,63.19821413201879,62.05414903316619,1.1440650988526002,,,34.2,34.25,34.2,34.25,0.00019164996430628747,0.00013576726449593475,,,,
1784601480,34.2,34.2,34.150000000000006,34.150000000000006,0,0,0,0,0,0,34.45,34.2,,,,,34.175000000000004,,,,,,,,,,,74.55757242000031,66.26786531632412,74.55757242000031,66.26786531632412,81.42084774116265,78.66822518037954,81.42084774116265,78.66822518037954,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.024433807334857248,,,,,,,,,0,0,0,0,52,48,-52,-48,58.45121282221128,61.47808542885613,-3.026872606644851,61.47808542885613,61.47808542885613,34.2,34.2,34.150000000000006,34.150000000000006,0.00020301527970677146,0.0001566474997982861,,,,
1784601480.001,34.15,34.15,34.1,34.1,0,0,0,0,0,0,34.45,34.2,,,,,34.125,,,,,,,,,,,75.40086270168861,67.57257922851905,75.40086270168861,67.57257922851905,82.38670066125626,80.5274629208179,82.38670066125626,80.5274629208179,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.00273065586755474,,,,,,,,,0,0,0,0,52,48,-52,-48,49.31536587813175,58.374523307886946,-9.059157429755196,,,34.15,34.15,34.1,34.1,0.00020829124390420663,0.00017446354407442928,,,,
1784601960,34.15,34.199999999999996,34.15,34.199999999999996,0,0,0,0,0,0,34.45,34.2,,,,,34.175,,,,,,,,,,,76.83326861260693,68.89553485481733,76.83326861260693,68.89553485481733,83.99379537198587,82.26062914640188,83.99379537198587,82.26062914640188,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.007491244230928572,,,,,,,,,0,0,0,0,52,48,-52,-48,48.82531781228251,54.94752766116109,-6.122209848878576,,,34.15,34.199999999999996,34.15,34.199999999999996,0.00021847627750406714,0.00019004453752791302,,,,
1784601960.001,34.2,34.25,34.2,34.25,0,0,0,0,0,0,34.45,34.2,,,,,34.225,,,,,,,,,,,78.48803514027786,70.26589203845455,78.48803514027786,70.26589203845455,86.02065577339044,84.14064245989616,86.02065577339044,84.14064245989616,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.018173311116801774,,,,,,,,,0,0,1,0,52,48,-52,-48,51.715389198305004,52.07682142773264,-0.36143222942763487,,,34.2,34.25,34.2,34.25,0.00022963111008861864,0.00020360680797562648,,,,
1784601960.002,34.25,34.3,34.25,34.3,0,0,0,0,0,0,34.3,34.1,,,,,34.275,,,,,,,,,,,80.02460405882945,71.65999375565096,80.02460405882945,71.65999375565096,87.7692577436514,85.95495010177378,87.7692577436514,85.95495010177378,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,0.0025794173978374996,,,,,,,,,0,0,0,0,52,48,-52,-48,55.370734712358484,51.306701900269445,4.064032812089039,51.306701900269445,51.306701900269445,34.25,34.3,34.25,34.3,0.00024135932491298415,0.00021540386673715595,,,,
1784602440,34.300000000000004,34.35,34.300000000000004,34.35,0,0,0,0,0,0,34.3,34.1,,,,,34.325,,,,,,,,,,,81.45141805462734,73.05876865550474,81.45141805462734,73.05876865550474,89.27841139932029,87.61668075054703,89.27841139932029,87.61668075054703,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.01306531116711612,-0.01306531116711612,,-0.01306531116711612,,,,,,0,0,0,0,52,48,-52,-48,58.8228339706788,53.68356892340621,5.139265047272588,,,34.300000000000004,34.35,34.300000000000004,34.35,0.00025346125468937074,0.0002257057484676698,,,,
1784602440.001,34.35,34.4,34.35,34.4,0,0,0,0,0,0,34.3,34.1,,,,,34.375,,,,,,,,,,,82.7763167650111,74.44698981400565,82.7763167650111,74.44698981400565,90.58149548513164,89.09908811783933,90.58149548513164,89.09908811783933,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101,-0.004392224284299018,,,,,,,,,0,0,0,0,52,48,-52,-48,61.70887014653328,56.9044570069689,4.804413139564382,,,34.35,34.4,34.35,34.4,0.0002671393334937483,0.00023639309076549928,,,,
