time,open,high,low,close,成交量中心线,通道上轨,通道下轨,多头订单块反应信号,空头订单块反应信号,多头趋势线 Pin Bar,空头趋势线 Pin Bar,多头趋势转换,空头趋势转换,需求强度 %,供给强度 %,成交量压力 %,趋势 Delta %,趋势力度 %,趋势状态,通道位置,合并成交量,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭)
1787880600,19.5,19.53,19.48,19.48,19.502448105511156,,,0,0,0,0,0,0,44.53339356823985,55.46660643176015,9.289434627814712,4.879399302738518,25.13943373220427,-1,2,75360,66.27122397148874,68.8063309051191,66.27122397148874,68.8063309051191,39.03612771410041,39.44312876216759,39.03612771410041,39.44312876216759,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880600.001,19.48,19.48,19.46,19.46,19.50058499612819,,,0,0,0,0,0,0,41.07485725217595,58.92514274782405,-3.0936104449632866,-3.154697587141723,33.868834160229866,-1,1,75360,64.68042225923952,68.21691538427915,64.68042225923952,68.21691538427915,36.1262047073244,37.784666734746,36.1262047073244,37.784666734746,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880600.002,19.46,19.46,19.44,19.44,19.498465153761817,,,0,0,0,0,0,0,39.45214316946048,60.54785683053952,-13.833073358468143,-10.04549956520959,54.32714375420664,-1,0,75360,62.63182066929384,67.41904471070981,62.63182066929384,67.41904471070981,31.727223082468456,34.755944908607226,31.727223082468456,34.755944908607226,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880600.003,19.44,19.44,19.42,19.42,19.49602770385381,,,0,0,0,0,0,0,37.952771043297524,62.047228956702476,-23.195904930565305,-16.020841064406856,63.530047596983295,-1,0,75360,60.15811919291571,66.38176963673922,60.15811919291571,66.38176963673922,27.867031549678778,31.311488229143002,27.867031549678778,31.311488229143002,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880600.004,19.42,19.42,19.400000000000002,19.400000000000002,19.493238252559475,,,0,0,0,0,0,0,36.56319298734102,63.43680701265898,-31.395828712654083,-21.251790509740456,71.58857153343672,-1,0,75360,57.28968210770746,65.08289998973468,57.28968210770746,65.08289998973468,24.48753080198025,27.899509515561626,24.48753080198025,27.899509515561626,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880600.005,19.400000000000002,19.400000000000002,19.380000000000003,19.380000000000003,19.49010456553233,,,0,0,0,0,0,0,35.46687759350484,64.53312240649515,-38.60597729918607,-25.869293057715815,78.68516221414113,-1,0,75360,53.197561957156935,63.38499455650929,53.197561957156935,63.38499455650929,21.53352980305809,24.71651965930986,21.53352980305809,24.71651965930986,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880600.006,19.38,19.38,19.36,19.36,19.486498622726383,,,0,0,0,0,0,0,33.71914031067797,66.28085968932203,-44.96808481853293,-29.975282436565237,84.9660203530589,-1,0,75360,49.397736103074294,61.38681477744715,49.397736103074294,61.38681477744715,18.95420566970191,21.835362664505887,18.95420566970191,21.835362664505887,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880600.007,19.38,19.4,19.38,19.4,19.483602553726286,,,0,0,0,0,0,0,34.39677116536846,65.60322883463154,-42.42595424102345,-28.85772141789647,82.77020539535195,-1,0,11800,47.05980257190229,59.340098748083605,47.05980257190229,59.340098748083605,18.23403964235319,20.034701153429538,18.23403964235319,20.034701153429538,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880720,19.400000000000002,19.42,19.400000000000002,19.42,19.48134371749224,,,0,0,0,0,0,0,34.93686834295266,65.06313165704734,-40.55339706891221,-28.097001059744837,81.19023887719423,-1,0,8150,45.48410238819503,57.360670696670944,45.48410238819503,57.360670696670944,18.858990500899196,19.446845827164367,18.858990500899196,19.446845827164367,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787880720.001,19.400000000000002,19.400000000000002,19.380000000000003,19.380000000000003,19.479530619878958,,,0,0,0,0,0,0,34.53884308787991,65.46115691212009,-40.980179489506966,-28.308618542881824,81.57327881943327,-1,0,4075,42.83047602713357,55.28492860102274,42.83047602713357,55.28492860102274,17.903979435553705,18.675412631359038,17.903979435553705,18.675412631359038,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
