time,open,high,low,close,买入形状,卖出形状,Q-买入形状,Q-卖出形状,多头突破形状,空头突破形状,多头反转形状,空头反转形状,快速 MA,慢速 MA,支撑,阻力,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭)
1787536560,19.11,19.11,19.07,19.07,0,0,0,0,0,0,0,0,19.104723168267515,18.66233310432351,18.96,19.23,75.42691172731762,75.48709195482708,75.42691172731762,75.48709195482708,71.23230372064872,72.05848382570275,71.23230372064872,72.05848382570275,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787536680,19.03,19.06,19.02,19.06,0,0,0,0,0,0,0,0,19.094167440703725,18.666157318874188,18.96,19.23,75.07686916032876,75.42848869847019,75.07686916032876,75.42848869847019,69.58854996016464,70.8235168929337,69.58854996016464,70.8235168929337,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787536740,19.07,19.07,19.03,19.07,0,0,0,0,0,0,0,0,19.087349118151533,18.670042984026352,18.96,19.19,74.82701760376392,75.3425642563693,74.82701760376392,75.3425642563693,63.481915003449416,67.15271594819156,63.481915003449416,67.15271594819156,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787536800,19.1,19.14,19.1,19.14,0,0,0,0,0,0,0,0,19.094497763336104,18.674586503256606,18.96,19.19,75.1213283764274,75.3109591306633,75.1213283764274,75.3109591306633,60.5784835367913,63.865599742491426,60.5784835367913,63.865599742491426,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787536860,19.17,19.17,19.130000000000003,19.130000000000003,0,0,0,0,0,0,0,0,19.103376957881053,18.679250650819558,18.96,19.19,75.31942898111869,75.31216910929979,75.31942898111869,75.31216910929979,58.91689566311437,61.3912477028029,58.91689566311437,61.3912477028029,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787536920,19.11,19.12,19.080000000000002,19.12,0,0,0,0,0,0,0,0,19.103975086751166,18.68350354649963,18.96,19.19,75.42819157269294,75.32874374692737,75.42819157269294,75.32874374692737,56.139294027030324,58.765270864916616,56.139294027030324,58.765270864916616,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787537100,19.150000000000002,19.18,19.14,19.14,0,0,0,0,0,0,0,0,19.11294931340247,18.688178469751705,18.96,19.19,75.67956134757578,75.37886054702001,75.67956134757578,75.37886054702001,55.262252023168784,57.0137614440427,55.262252023168784,57.0137614440427,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787537220,19.1,19.14,19.1,19.14,0,0,0,0,0,0,0,0,19.115443377632324,18.692541536387676,18.96,19.19,75.91297613853841,75.45516277437979,75.91297613853841,75.45516277437979,53.53305812512219,55.27340978458244,53.53305812512219,55.27340978458244,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787537280,19.19,19.22,19.18,19.22,0,0,0,0,0,0,0,0,19.132029430184023,18.697657209325776,18.96,19.22,76.73122220383077,75.63745697858705,76.73122220383077,75.63745697858705,55.13359869371373,55.20350423914809,55.13359869371373,55.20350423914809,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1787537340,19.240000000000002,19.28,19.240000000000002,19.28,0,0,0,0,0,0,0,0,19.15650892772632,18.70331899497096,18.96,19.28,77.94214994115113,75.96669883038192,77.94214994115113,75.96669883038192,58.685941737469015,56.944722988308556,58.685941737469015,56.944722988308556,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
