time,open,high,low,close,买入形状,卖出形状,Q-买入形状,Q-卖出形状,多头突破形状,空头突破形状,多头反转形状,空头反转形状,快速 MA,慢速 MA,支撑,阻力,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭)
1782712320,17.89,17.91,17.89,17.91,0,0,0,0,0,0,0,0,17.766617683546116,17.60628375016248,17.55,17.91,70.13818619531314,56.11330322765969,70.13818619531314,56.11330322765969,89.96320109214912,88.74053732286718,89.96320109214912,88.74053732286718,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712380,18,18,17.98,17.98,0,0,0,0,0,0,0,0,17.806626589568033,17.610068654804312,17.55,18,71.98545860993364,58.380753996555974,71.98545860993364,58.380753996555974,91.032287866219,89.88641259454309,91.032287866219,89.88641259454309,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712380.001,17.96,17.97,17.95,17.95,0,0,0,0,0,0,0,0,17.833906603585966,17.613517391240755,17.55,18,73.27221156636695,60.508105077957545,73.27221156636695,60.508105077957545,90.97600358137917,90.43120808796112,90.97600358137917,90.43120808796112,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712500,17.91,17.93,17.91,17.93,0,0,0,0,0,0,0,0,17.850166008994577,17.61660013693322,17.55,18,74.18133931162645,62.46142425419596,74.18133931162645,62.46142425419596,89.89432525820344,90.16276667308227,89.89432525820344,90.16276667308227,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712560,18,18,17.98,17.98,0,0,0,0,0,0,0,0,17.874984310389504,17.620282390960416,17.56,18,75.7398150750817,64.35833722860822,75.7398150750817,64.35833722860822,90.97325143712268,90.56800905510248,90.97325143712268,90.56800905510248,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712620,17.96,17.98,17.96,17.98,0,0,0,0,0,0,0,0,17.892865950924744,17.623795335660645,17.56,18,77.1869711411473,66.19099921611381,77.1869711411473,66.19099921611381,91.41172311631796,90.98986608571022,91.41172311631796,90.98986608571022,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712680,18.03,18.03,18.01,18.01,0,0,0,0,0,0,0,0,17.91537517196873,17.62770450313334,17.56,18.03,78.54693142351819,67.95613238860014,78.54693142351819,67.95613238860014,92.29576267112967,91.64281437841994,92.29576267112967,91.64281437841994,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712680.001,18,18,17.98,17.98,0,0,0,0,0,0,0,1,17.92833726191381,17.63127626595457,17.59,18.03,79.4054390172561,69.59174762126528,79.4054390172561,69.59174762126528,92.19636800382538,91.91959119112266,92.19636800382538,91.91959119112266,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712740,17.96,17.98,17.96,17.98,0,0,0,0,0,0,0,0,17.93651836580827,17.63467981886381,17.62,18.03,80.20262464001273,71.10758719537206,80.20262464001273,71.10758719537206,91.65402971756463,91.78681045434365,91.65402971756463,91.78681045434365,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1782712800,18,18.02,18,18.02,0,0,0,0,0,0,0,0,17.950484723540097,17.638447515525197,17.67,18.03,81.48195199052394,72.58963930896519,81.48195199052394,72.58963930896519,92.33202547219823,92.05941796327093,92.33202547219823,92.05941796327093,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
