time,open,high,low,close,成交量中心线,通道上轨,通道下轨,多头订单块反应信号,空头订单块反应信号,多头趋势线 Pin Bar,空头趋势线 Pin Bar,多头趋势转换,空头趋势转换,需求强度 %,供给强度 %,成交量压力 %,趋势 Delta %,趋势力度 %,趋势状态,通道位置,合并成交量,red_green (开盘价),red_green (最高价,red_green (最低价),red_green (关闭),cyan_magenta (开盘价),cyan_magenta (最高价,cyan_magenta (最低价),cyan_magenta (关闭),yellow (开盘价),yellow (最高价,yellow (最低价),yellow (关闭),blue (开盘价),blue (最高价,blue (最低价),blue (关闭),fuchsia (开盘价),fuchsia (最高价,fuchsia (最低价),fuchsia (关闭),white (开盘价),white (最高价,white (最低价),white (关闭)
1785722040.001,19.12,19.12,19.1,19.1,19.15770698671669,,,0,0,0,0,0,0,44.65784702169096,55.34215297830904,5.7741373561310265,-27.796748828366706,60.14253171069864,-1,0,9043.75,18.46173519090584,20.124207175743305,18.46173519090584,20.124207175743305,26.62293370345166,27.816682901923038,26.62293370345166,27.816682901923038,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722040.002,19.1,19.1,19.080000000000002,19.080000000000002,19.154555095302996,,,0,0,0,0,0,0,40.08688387635757,59.91311612364243,-5.524401641519138,-28.491962707965783,60.40981860969096,-1,0,9043.75,17.14303982012685,19.698326124940955,17.14303982012685,19.698326124940955,23.391086031529934,25.603884466726484,23.391086031529934,25.603884466726484,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722040.003,19.080000000000002,19.080000000000002,19.060000000000002,19.060000000000002,19.150280616672557,,,0,0,0,0,0,0,35.55939869628842,64.44060130371159,-15.458028722927294,-29.173916436255844,66.77916709550989,-1,0,9043.75,15.918536975832078,19.15835624649683,15.918536975832078,19.15835624649683,20.568982832220406,23.086433649473445,20.568982832220406,23.086433649473445,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722160,19.080000000000002,19.1,19.080000000000002,19.1,19.146405909290475,,,0,0,0,0,0,0,39.39416997989868,60.60583002010132,-1.4106729351425826,-27.715194045482054,53.25788471692762,-1,1,10831.25,15.971974810891675,18.703158898553234,15.971974810891675,18.703158898553234,19.708478791253867,21.397456220363658,19.708478791253867,21.397456220363658,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722160.001,19.1,19.12,19.1,19.12,19.143159624461067,,,0,0,0,0,0,0,42.88691521973562,57.11308478026438,10.559425195294306,-26.28904959284764,39.98732039659464,-1,2,10831.25,16.616833752970816,18.405112449184315,16.616833752970816,18.405112449184315,20.269605197698112,20.833530709030885,20.269605197698112,20.833530709030885,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722160.002,19.12,19.14,19.12,19.14,19.140678939777406,,,0,0,0,0,0,0,46.081439251144,53.918560748856,20.837802852373095,-24.894403776102138,27.964034611836514,-1,2,10831.25,17.81086943728239,18.320220590341183,17.81086943728239,18.320220590341183,22.049271987637315,21.4414013483341,22.049271987637315,21.4414013483341,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722160.003,19.14,19.16,19.14,19.16,19.139036546054395,,,0,0,0,0,0,0,49.01437280291906,50.98562719708094,29.721707265319235,-23.530224448408767,24.085470411711647,-1,3,10831.25,19.514854953666937,18.490882642244863,19.514854953666937,18.490882642244863,24.873401963429338,23.15740165588172,24.873401963429338,23.15740165588172,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722280,19.16,19.18,19.13,19.18,19.138887912299047,,,0,0,0,0,0,0,54.783827061649326,45.216172938350674,46.118273482354475,-20.29133945642432,35.75349342966663,-1,4,26700,21.692365314119247,18.94823730965549,21.692365314119247,18.94823730965549,28.20317570891337,25.680288682397546,28.20317570891337,25.680288682397546,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722400,19.18,19.2,19.15,19.2,19.140096527069453,,,0,0,0,0,1,0,61.33782732693804,38.66217267306196,51.27582467151005,100,100,1,5,11012.5,24.30957731549162,19.714143024774934,24.30957731549162,19.714143024774934,32.3559687894581,29.018128735927824,32.3559687894581,29.018128735927824,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722400.001,19.2,19.22,19.2,19.22,19.14178433025473,,,0,0,0,0,0,0,62.74111336909086,37.25888663090914,55.917366420897196,100,100,1,5,11012.5,27.76798413061876,20.864691754181194,27.76798413061876,20.864691754181194,37.603817403950984,33.31097306993941,37.603817403950984,33.31097306993941,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722520,19.22,19.24,19.22,19.24,19.145490305622797,,,0,0,0,0,0,0,66.8661491971322,33.1338508028678,66.46994595188993,100,100,1,5,33075,31.62871253687317,22.402409008851475,31.62871253687317,22.402409008851475,43.40067465793188,38.35582386393564,43.40067465793188,38.35582386393564,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722640,19.22,19.22,19.2,19.2,19.148835153306223,,,0,0,0,0,0,0,63.07229681080852,36.92770318919148,47.88271432798006,55.45759125374713,97.93753362825282,1,4,15787.5,33.914973329693844,24.0470610546861,33.914973329693844,24.0470610546861,46.81096788861674,42.583395876276185,46.81096788861674,42.583395876276185,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722640.001,19.2,19.2,19.18,19.18,19.151926100390906,,,0,0,0,0,0,0,63.246411280047575,36.753588719952425,31.706437837407854,27.141620997980965,56.847186825966666,1,4,15787.5,35.388579130819544,25.667277922705164,35.388579130819544,25.667277922705164,48.43537507335985,45.50938547481802,48.43537507335985,45.50938547481802,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722760,19.18,19.18,19.16,19.16,19.154297341938168,,,0,0,0,0,0,0,60.909950269203904,39.090049730796096,21.764903146312644,13.156205878577845,25.33285450000104,1,3,10712.5,36.10757672537134,27.158749180228902,36.10757672537134,27.158749180228902,48.52902279015244,47.01920413248523,48.52902279015244,47.01920413248523,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722760.001,19.16,19.16,19.14,19.14,19.155946471841027,,,0,0,0,0,0,0,58.71954132823698,41.28045867176302,12.42977160398066,1.942645698427382,10.443045528931606,1,2,10712.5,36.125866699533084,28.439765968700925,36.125866699533084,28.439765968700925,47.31059096298767,47.164897547736444,47.31059096298767,47.164897547736444,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722760.002,19.16,19.18,19.16,19.18,19.15728124974836,,,0,0,0,0,0,0,59.50316381532692,40.49683618467308,16.987892265831803,7.886161199217902,32.34800427659961,1,3,6975,37.44155154567027,29.725735336839403,37.44155154567027,29.725735336839403,47.82466238385949,47.49477996579797,47.82466238385949,47.49477996579797,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722880,19.16,19.16,19.14,19.14,19.157961348099892,,,0,0,0,0,0,0,55.58732952045755,44.41267047954245,-0.7867801372274189,-9.31336742147553,9.899210098054317,1,2,21825,37.364557604096376,30.816995660733255,37.364557604096376,30.816995660733255,46.70685347187943,47.1008167188387,46.70685347187943,47.1008167188387,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722880.001,19.16,19.18,19.16,19.18,19.15846368888091,,,0,0,0,0,0,0,55.79154806218525,44.20845193781475,1.087885466352313,-7.37219730941704,21.505291845610937,1,3,2475,38.59176452847904,31.92767692755408,38.59176452847904,31.92767692755408,47.30717310576671,47.203994912302704,47.30717310576671,47.203994912302704,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722880.002,19.18,19.2,19.18,19.2,19.158848360427346,,,0,0,0,0,0,0,55.99389712292939,44.00610287707061,3.071084395920527,-5.498766302432147,36.572215850122134,1,4,2475,40.380664464756435,33.135246575725844,40.380664464756435,33.135246575725844,49.97757694779992,48.59078593005131,49.97757694779992,48.59078593005131,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785722880.003,19.2,19.22,19.2,19.22,19.159050621248124,,,0,0,0,0,0,0,56.92052876652396,43.07947123347604,5.16273197863477,-3.6895894682141,45.31139286810932,1,5,2475,42.69113648350752,34.50037370540894,42.69113648350752,34.50037370540894,54.901415161606096,51.7461005458287,54.901415161606096,51.7461005458287,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723000,19.2,19.23,19.18,19.18,19.159151651400865,,,0,0,0,0,0,0,56.4202244232601,43.5797755767399,-1.2479916089454035,-8.004136504653568,21.42106788184128,1,3,6768.75,43.537873487932245,35.79144510291227,43.537873487932245,35.79144510291227,57.693276487726116,54.71968851677741,57.693276487726116,54.71968851677741,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723000.001,19.18,19.18,19.16,19.16,19.159136203201623,,,0,0,0,0,0,0,55.928638324658785,44.071361675341215,-7.453774633139873,-11.948689524111172,12.29978779674596,1,3,6768.75,43.67477862840457,36.91763560655403,43.67477862840457,36.91763560655403,58.0228084180509,56.371248467414155,58.0228084180509,56.371248467414155,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723000.002,19.16,19.16,19.14,19.14,19.158993395386762,,,0,0,0,0,0,1,55.44554455445546,44.55445544554454,-13.43751898776317,-100,52.55483046872243,-1,2,6768.75,43.15255418092108,37.808338260035036,43.15255418092108,37.808338260035036,56.7179627710277,56.54460561922093,56.7179627710277,56.54460561922093,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723000.003,19.14,19.14,19.12,19.12,19.15871570929452,,,0,0,0,0,0,0,54.97072493511198,45.02927506488802,-19.18526487853473,-100,71.08702027038301,-1,1,6768.75,42.01828083033577,38.40975862722085,42.01828083033577,38.40975862722085,54.012222057706225,55.27841383846358,54.012222057706225,55.27841383846358,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723120,19.12,19.12,19.1,19.1,19.158034628297752,,,0,0,0,0,0,0,53.3665397011427,46.6334602988573,-30.05396634297154,-100,88.03237980578292,-1,0,14400,40.31567635544163,38.68203258839525,40.31567635544163,38.68203258839525,50.1057141447008,52.69206399158219,50.1057141447008,52.69206399158219,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723120.001,19.12,19.14,19.12,19.14,19.15757368971396,,,0,0,0,0,0,0,54.082264687664896,45.917735312335104,-28.329078813596325,-91.05285653226957,60.4027758386275,-1,2,1308.3333333333333,40.033387784598354,38.87508333070998,40.033387784598354,38.87508333070998,48.66204069545788,50.67705234352003,48.66204069545788,50.67705234352003,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723120.002,19.14,19.16,19.14,19.16,19.15720114771063,,,0,0,0,0,0,0,53.36439888164026,46.63560111835974,-26.48378837829232,-82.87194872494203,24.013895688625205,-1,3,1308.3333333333333,40.42061333245166,39.09587333095879,40.42061333245166,39.09587333095879,49.011907897694115,49.844480120607074,49.011907897694115,49.844480120607074,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723120.003,19.16,19.18,19.16,19.18,19.15703871812339,,,0,0,0,0,0,0,54.256070016939596,45.743929983060404,-24.51430826784301,-75.3628874068262,31.132571935296568,-1,3,1308.3333333333333,41.42953056195181,39.429252935386366,41.42953056195181,39.429252935386366,50.89909565834105,50.371787889474064,50.89909565834105,50.371787889474064,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723240,19.16,19.16,19.14,19.14,19.15681519529852,,,0,0,0,0,0,0,51.140975317676805,48.859024682323195,-43.87523589035033,-86.5149237706678,69.14837324148702,-1,2,26350,41.067680976357806,39.66331408409657,41.067680976357806,39.66331408409657,50.61192326270497,50.49185557608952,50.61192326270497,50.49185557608952,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723360,19.16,19.18,19.16,19.18,19.157247469307777,,,0,0,0,0,0,0,55.466318017681495,44.533681982318505,-8.412996895230647,-22.320799887339813,17.872932429170028,-1,3,30550,42.030379088436085,40.001466227573644,42.030379088436085,40.001466227573644,52.27053739977892,51.38119648793422,52.27053739977892,51.38119648793422,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723360.001,19.18,19.2,19.18,19.2,19.15846198703382,,,0,0,0,0,1,0,57.58546058288121,42.41453941711879,14.711121846787595,100,70.45837063508223,1,4,30550,43.57366369900227,40.51178015206345,43.57366369900227,40.51178015206345,55.279508247429604,53.33035236768191,55.279508247429604,53.33035236768191,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723480,19.2,19.22,19.2,19.22,19.16016785327561,,,0,0,0,0,0,0,58.686611990296875,41.313388009703125,26.906706562509246,100,86.14402393750555,1,5,21725,45.65606434387865,41.24667789375133,45.65606434387865,41.24667789375133,59.445927704146065,56.38814003591399,59.445927704146065,56.38814003591399,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723480.001,19.22,19.24,19.22,19.24,19.162418765906022,,,0,0,0,0,0,0,58.10343817723892,41.89656182276108,36.841023160534405,100,92.10461389632064,1,5,21725,48.23907273490021,42.24559144248689,48.23907273490021,42.24559144248689,64.60444596863319,60.49629300227359,64.60444596863319,60.49629300227359,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723600,19.240000000000002,19.26,19.240000000000002,19.26,19.16509174873622,,,0,0,0,0,0,0,60.765197798864776,39.234802201135224,42.73272888867404,100,95.63963733320442,1,5,14950,51.28693117591384,43.53721140440502,51.28693117591384,43.53721140440502,69.08952511597137,64.79290905912248,69.08952511597137,64.79290905912248,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723600.001,19.26,19.28,19.26,19.28,19.16831128552848,,,0,0,0,0,0,0,63.355276281667685,36.644723718332315,48.0621786710755,100,98.83730720264529,1,5,14950,54.76643609192,45.141386359764304,54.76643609192,45.141386359764304,72.98582672278071,68.8893678909516,72.98582672278071,68.8893678909516,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723720,19.28,19.3,19.28,19.3,19.171891056258186,,,0,0,0,0,0,0,65.50797959270682,34.49202040729318,51.45289083300547,100,100,1,5,10200,57.99740494249714,46.97796044301185,57.99740494249714,46.97796044301185,76.36880385762161,72.6290858742866,76.36880385762161,72.6290858742866,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723720.001,19.3,19.32,19.3,19.32,19.1759393301834,,,0,0,0,0,0,0,67.64939335525571,32.35060664474429,54.70559412030992,100,100,1,5,10200,60.997590303747344,48.98076470883121,60.997590303747344,48.98076470883121,79.2684985446281,75.94879220945735,79.2684985446281,75.94879220945735,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723720.002,19.32,19.34,19.32,19.34,19.18035216321392,,,0,0,0,0,0,0,67.60301486139304,32.396985138606965,57.81469592962676,100,100,1,5,10200,63.78347671062254,51.09543785194426,63.78347671062254,51.09543785194426,81.7539511334908,78.85137167147408,81.7539511334908,78.85137167147408,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
1785723840,19.32,19.32,19.3,19.3,19.18440999439218,,,0,0,0,0,0,0,66.19590615560237,33.80409384439763,53.465291308542426,94.46452545698646,100,1,5,3828.5714285714284,65.34996306802707,53.13179859709895,65.34996306802707,53.13179859709895,82.4557676382302,80.65356965485213,82.4557676382302,80.65356965485213,96,101,96,101,-1,4,-1,4,-1,4,-1,4,96,101,96,101
